"turn","color","output","condition","time","score"
"GE01","azzurro","ccr","post","day_19",60
"GE01","azzurro","ccr","post","day_20",60
"GE01","azzurro","ccr","post","day_21",60
"GE01","azzurro","ccr","post","day_22",30
"GE01","azzurro","ccr","post","day_23",30
"GE01","azzurro","ccr","post","day_24",30
"GE01","azzurro","ccr","post","day_25",30
"GE01","azzurro","ccr","post","day_26",30
"GE01","azzurro","ccr","post","day_27",30
"GE01","azzurro","ccr","post","day_28",30
"GE01","azzurro","ccr","post","day_29",110
"GE01","azzurro","ccr","post","day_30",110
"GE01","azzurro","ccr","post","day_31",110
"GE01","azzurro","ccr","post","day_32",110
"GE01","azzurro","ccr","post","day_33",110
"GE01","azzurro","ccr","post","day_34",110
"GE01","azzurro","ccr","post","day_35",110
"GE01","azzurro","daysurvived","post","day_0",0
"GE01","azzurro","daysurvived","post","day_1",1
"GE01","azzurro","daysurvived","post","day_2",2
"GE01","azzurro","daysurvived","post","day_3",3
"GE01","azzurro","daysurvived","post","day_4",4
"GE01","azzurro","daysurvived","post","day_5",5
"GE01","azzurro","daysurvived","post","day_6",6
"GE01","azzurro","daysurvived","post","day_7",7
"GE01","azzurro","daysurvived","post","day_8",8
"GE01","azzurro","daysurvived","post","day_9",9
"GE01","azzurro","daysurvived","post","day_10",10
"GE01","azzurro","daysurvived","post","day_11",11
"GE01","azzurro","daysurvived","post","day_12",12
"GE01","azzurro","daysurvived","post","day_13",13
"GE01","azzurro","daysurvived","post","day_14",14
"GE01","azzurro","daysurvived","post","day_15",15
"GE01","azzurro","daysurvived","post","day_16",16
"GE01","azzurro","daysurvived","post","day_17",17
"GE01","azzurro","daysurvived","post","day_18",18
"GE01","azzurro","daysurvived","post","day_19",19
"GE01","azzurro","daysurvived","post","day_20",20
"GE01","azzurro","daysurvived","post","day_21",21
"GE01","azzurro","daysurvived","post","day_22",22
"GE01","azzurro","daysurvived","post","day_23",23
"GE01","azzurro","daysurvived","post","day_24",24
"GE01","azzurro","daysurvived","post","day_25",25
"GE01","azzurro","daysurvived","post","day_26",26
"GE01","azzurro","daysurvived","post","day_27",27
"GE01","azzurro","daysurvived","post","day_28",28
"GE01","azzurro","daysurvived","post","day_29",29
"GE01","azzurro","daysurvived","post","day_30",30
"GE01","azzurro","daysurvived","post","day_31",31
"GE01","azzurro","daysurvived","post","day_32",32
"GE01","azzurro","daysurvived","post","day_33",33
"GE01","azzurro","daysurvived","post","day_34",34
"GE01","azzurro","daysurvived","post","day_35",35
"GE01","azzurro","energiaaquisita","post","day_0",0
"GE01","azzurro","energiaaquisita","post","day_1",40
"GE01","azzurro","energiaaquisita","post","day_2",80
"GE01","azzurro","energiaaquisita","post","day_3",120
"GE01","azzurro","energiaaquisita","post","day_4",160
"GE01","azzurro","energiaaquisita","post","day_5",200
"GE01","azzurro","energiaaquisita","post","day_6",240
"GE01","azzurro","energiaaquisita","post","day_7",280
"GE01","azzurro","energiaaquisita","post","day_8",360
"GE01","azzurro","energiaaquisita","post","day_9",440
"GE01","azzurro","energiaaquisita","post","day_10",520
"GE01","azzurro","energiaaquisita","post","day_11",600
"GE01","azzurro","energiaaquisita","post","day_12",680
"GE01","azzurro","energiaaquisita","post","day_13",720
"GE01","azzurro","energiaaquisita","post","day_14",760
"GE01","azzurro","energiaaquisita","post","day_15",880
"GE01","azzurro","energiaaquisita","post","day_16",1000
"GE01","azzurro","energiaaquisita","post","day_17",1120
"GE01","azzurro","energiaaquisita","post","day_18",1200
"GE01","azzurro","energiaaquisita","post","day_19",1280
"GE01","azzurro","energiaaquisita","post","day_20",1320
"GE01","azzurro","energiaaquisita","post","day_21",1360
"GE01","azzurro","energiaaquisita","post","day_22",1680
"GE01","azzurro","energiaaquisita","post","day_23",2000
"GE01","azzurro","energiaaquisita","post","day_24",2280
"GE01","azzurro","energiaaquisita","post","day_25",2430
"GE01","azzurro","energiaaquisita","post","day_26",2430
"GE01","azzurro","energiaaquisita","post","day_27",2430
"GE01","azzurro","energiaaquisita","post","day_28",2430
"GE01","azzurro","energiaaquisita","post","day_29",2910
"GE01","azzurro","energiaaquisita","post","day_30",3310
"GE01","azzurro","energiaaquisita","post","day_31",3550
"GE01","azzurro","energiaaquisita","post","day_32",3670
"GE01","azzurro","energiaaquisita","post","day_33",3790
"GE01","azzurro","energiaaquisita","post","day_34",3870
"GE01","azzurro","energiaaquisita","post","day_35",3910
"GE01","azzurro","giornaliero","post","day_0",0
"GE01","azzurro","giornaliero","post","day_1",40
"GE01","azzurro","giornaliero","post","day_2",40
"GE01","azzurro","giornaliero","post","day_3",40
"GE01","azzurro","giornaliero","post","day_4",40
"GE01","azzurro","giornaliero","post","day_5",40
"GE01","azzurro","giornaliero","post","day_6",40
"GE01","azzurro","giornaliero","post","day_7",40
"GE01","azzurro","giornaliero","post","day_8",80
"GE01","azzurro","giornaliero","post","day_9",80
"GE01","azzurro","giornaliero","post","day_10",80
"GE01","azzurro","giornaliero","post","day_11",80
"GE01","azzurro","giornaliero","post","day_12",80
"GE01","azzurro","giornaliero","post","day_13",40
"GE01","azzurro","giornaliero","post","day_14",40
"GE01","azzurro","giornaliero","post","day_15",120
"GE01","azzurro","giornaliero","post","day_16",120
"GE01","azzurro","giornaliero","post","day_17",120
"GE01","azzurro","giornaliero","post","day_18",80
"GE01","azzurro","giornaliero","post","day_19",80
"GE01","azzurro","giornaliero","post","day_20",40
"GE01","azzurro","giornaliero","post","day_21",40
"GE01","azzurro","giornaliero","post","day_22",320
"GE01","azzurro","giornaliero","post","day_23",320
"GE01","azzurro","giornaliero","post","day_24",280
"GE01","azzurro","giornaliero","post","day_25",150
"GE01","azzurro","giornaliero","post","day_26",0
"GE01","azzurro","giornaliero","post","day_27",0
"GE01","azzurro","giornaliero","post","day_28",0
"GE01","azzurro","giornaliero","post","day_29",480
