"turn","color","output","condition","time","score","note"
"BR01","blu","energiaaquisita","pre","20",NA,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","21",NA,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","22",NA,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","23",NA,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","24",NA,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","25",NA,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","26",NA,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","27",NA,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","28",NA,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","0",0,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","1",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","2",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","3",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","4",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","5",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","6",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","7",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","8",80,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","9",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","10",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","11",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","12",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","13",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","14",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","15",120,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","16",120,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","17",40,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","18",NA,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","19",NA,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","20",NA,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","21",NA,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","22",NA,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","23",NA,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","24",NA,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","25",NA,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","26",NA,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","27",NA,"used malus 100 Euro costante"
"BR01","blu","giornaliero","pre","28",NA,"used malus 100 Euro costante"
"BR01","blu","mucche","pre","0",1,"used malus 100 Euro costante"
"BR01","blu","mucche","pre","1",1,"used malus 100 Euro costante"
"BR01","blu","mucche","pre","2",1,"used malus 100 Euro costante"
"BR01","blu","mucche","pre","3",1,"used malus 100 Euro costante"
"BR01","blu","mucche","pre","4",1,"used malus 100 Euro costante"
"BR01","blu","mucche","pre","5",1,"used malus 100 Euro costante"
"BR01","blu","mucche","pre","6",1,"used malus 100 Euro costante"
"BR01","blu","mucche","pre","7",1,"used malus 100 Euro costante"
"BR01","blu","mucche","pre","8",2,"used malus 100 Euro costante"
"BR01","blu","mucche","pre","9",1,"used malus 100 Euro costante"
"BR01","blu","mucche","pre","10",1,"used malus 100 Euro costante"
"BR01","blu","mucche","pre","11",1,"used malus 100 Euro costante"
