"turn","color","output","condition","time","score"
"BR04","azzurro","energiaaquisita","post","22",1950
"BR04","azzurro","energiaaquisita","post","23",2030
"BR04","azzurro","energiaaquisita","post","24",2060
"BR04","azzurro","energiaaquisita","post","25",2060
"BR04","azzurro","energiaaquisita","post","26",2060
"BR04","azzurro","energiaaquisita","post","27",2060
"BR04","azzurro","energiaaquisita","post","28",2060
"BR04","azzurro","giornaliero","post","0",0
"BR04","azzurro","giornaliero","post","1",40
"BR04","azzurro","giornaliero","post","2",40
"BR04","azzurro","giornaliero","post","3",40
"BR04","azzurro","giornaliero","post","4",40
"BR04","azzurro","giornaliero","post","5",40
"BR04","azzurro","giornaliero","post","6",40
"BR04","azzurro","giornaliero","post","7",40
"BR04","azzurro","giornaliero","post","8",80
"BR04","azzurro","giornaliero","post","9",80
"BR04","azzurro","giornaliero","post","10",80
"BR04","azzurro","giornaliero","post","11",80
"BR04","azzurro","giornaliero","post","12",80
"BR04","azzurro","giornaliero","post","13",80
"BR04","azzurro","giornaliero","post","14",70
"BR04","azzurro","giornaliero","post","15",160
"BR04","azzurro","giornaliero","post","16",160
"BR04","azzurro","giornaliero","post","17",160
"BR04","azzurro","giornaliero","post","18",160
"BR04","azzurro","giornaliero","post","19",120
"BR04","azzurro","giornaliero","post","20",80
"BR04","azzurro","giornaliero","post","21",80
"BR04","azzurro","giornaliero","post","22",200
"BR04","azzurro","giornaliero","post","23",80
"BR04","azzurro","giornaliero","post","24",30
"BR04","azzurro","giornaliero","post","25",0
"BR04","azzurro","giornaliero","post","26",0
"BR04","azzurro","giornaliero","post","27",0
"BR04","azzurro","giornaliero","post","28",0
"BR04","azzurro","mucche","post","0",1
"BR04","azzurro","mucche","post","1",1
"BR04","azzurro","mucche","post","2",1
"BR04","azzurro","mucche","post","3",1
"BR04","azzurro","mucche","post","4",1
"BR04","azzurro","mucche","post","5",1
"BR04","azzurro","mucche","post","6",1
"BR04","azzurro","mucche","post","7",1
"BR04","azzurro","mucche","post","8",2
"BR04","azzurro","mucche","post","9",2
"BR04","azzurro","mucche","post","10",2
"BR04","azzurro","mucche","post","11",2
"BR04","azzurro","mucche","post","12",2
"BR04","azzurro","mucche","post","13",2
"BR04","azzurro","mucche","post","14",2
"BR04","azzurro","mucche","post","15",4
"BR04","azzurro","mucche","post","16",4
"BR04","azzurro","mucche","post","17",4
